Name of Contributor and date of Contribution,Date of event (M/D/YYYY),Source,Citation (MLA),Violation,Summary,Notes,Classification,
"Teodor Bortan, 4/1/2025",4/1/2025,Rubio Says He Has Revoked 300 or More Visas in Trump's Deportation Push,"Wong, Edward. “Rubio Orders U.S. Diplomats to Scour Student Visa Applicants’ Social Media.” The New York Times, 1 Apr. 2025, https://www.nytimes.com/2025/03/25/us/politics/rubio-immigration-students-ozturk-chung-khalil.html.","It is unclear if revoking green cards based on political speech and dissent violates the first Amendment. That will be litigated in court, however, the crackdown on dissent violates democratic norms even if it is unconstitutional and shows an administration focused on dissuading dissent and threatening protestors with consequences.  

","Secretary of State Marco Rubio has revoked over 300 visas as part of the Trump administration’s deportation push, targeting students, visitors, and some permanent U.S. residents for their political beliefs: ""If they're taking activities that are counter to our foreign policy, we'll revoke the visa."" Rubio defended the actions as protecting U.S. interests but has faced legal challenges, with critics arguing that the policy mirrors authoritarian suppression of free speech.","As pro-Palestinian demonstrations continue on college campuses, it is fair to question whether pressure from federal officials like Rubio will suppress protests, further endangering the free speech and civil liberties of students.








",Norm Violation,
Teodor Bortan. 4/15/2025,4/14/2025,Columbia Activist Arrested by ICE at His Appointment for Citizenship,"Otterman, Sharon, and Ana Ley. “Columbia Activist Arrested by ICE at His Appointment for Citizenship.” The New York Times, 14 Apr. 2025, www.nytimes.com/2025/04/14/nyregion/columbia-student-palestinian-arrested-ice.html.

‌","If Mahdawi’s detention is linked to his political speech or campus activism, it may infringe upon his First Amendment rights. Mahdawi’s abrupt detention without notice, and the alleged effort to conceal his whereabouts from his legal team, may violate his constitutional right to due process.","Mohsen Mahdawi, a Palestinian student and U.S. greencard holder, was detained by immigration officials in Vermont when he showed up for what he believed was an interview for his naturalization. His detention and calls for his deportation arepart of a broader pattern under the Trump administration of targeting pro-Palestinian student organizers on U.S. campuses under the argument that they are dangerous for foreign affairs. 
Mahdawi co-founded pro-Palestinian groups at Columbia University and has publicly advocated for peace. ","To respond to As pro-Palestinian demonstrations continue on college campuses, it is fair to question whether pressure from federal officials like Rubio will suppress protests, further endangering the free speech and civil liberties of students.
It seems that this is the trajectory the American government si taking ",Norm Violation,"Note: Please do not follow an agenda, be aware of our resposability with this database. We are looking for violations of rights and democratic blacksliding. If things are achieved throigh democratic means before you put, perhaps, you can ask the class to revise the submission"
"Tali Levine, 4/22/25",4/15/2025,https://www.whitehouse.gov/presidential-actions/2025/04/preventing-illegal-aliens-from-obtaining-social-security-act-benefits/,"“Preventing Illegal Aliens from Obtaining Social Security Act Benefits.” The White House, The United States Government, 15 Apr. 2025, www.whitehouse.gov/presidential-actions/2025/04/preventing-illegal-aliens-from-obtaining-social-security-act-benefits/. ","This creates a false impression that undocumented immigrants were previously receiving Social Security benefits, which can fuel misinformation, stigmatize immigrant communities, and serve a political purpose rather than a policy need.","Trump signed a memorandum to stop undocumented immigrants and other “ineligible” people from receiving Social Security benefits. (The Social Security Act requires nonresidents to have legal status in order to access benefits, or be a representative payee on behalf of an eligible beneficiary, which could include elderly individuals or children and adults living with disabilities).",,Social Contradictions,
,4/24/2025,https://www.theguardian.com/us-news/2025/apr/24/trump-sewage-pollution-settlement-alabama,"Perkins, Tom. “Trump administration kills landmark pollution settlement in majority-Black county.” The Guardian, 24 April 2025, https://www.theguardian.com/us-news/2025/apr/24/trump-sewage-pollution-settlement-alabama.","The Trump administration's targeting of DEI efforts may violate federal civil rights laws, in this case, to environmental justice. Moreover, specifically in this case, they are undermining this group's basic human rights of rights to water and sanitation. ","The Trump Administration just killed a landmark civil rights settlement requiring Alabama to address raw sewage pollution in Montgomery County's majority-Black neighborhoods because it is an ""illegal"" DEI effort/initiative, following the administration's executive order banning federal agencies from pursuing programs in DEI. Alabama's failure to provide adequate sewer infrastructure has culminated in unsuitable water drainage conditions and serious health risks.",,Unlawful,
,4/24/2025,https://www.cnn.com/2025/04/24/politics/education-dei-policy-blocked/index.html,"Sneed, Tierney. “Department of Education policy targeting DEI and other race-related school programs is likely unconstitutional, judge rules.” CNN, 24 April 2025, https://www.cnn.com/2025/04/24/politics/education-dei-policy-blocked/index.html.","The Trump administration's targeting of DEI efforts may violate First Amendment First Speech protections and federal civil rights law, relating to the Department of Education's banning of DEI programs and initiatives in schools. ","A federal judge rules that the Department of Education's targeting/banning of DEI efforts and programs is likely unconstitutional, which likely violates the First Amendment's Free Speech protections and other federal civil rights law. This ruling halts the Trump administration's enforcement of the executive order, with other courts also considering challenges to the policy.", ,Unconstitutional ,
,4/24/2025,https://www.nytimes.com/2025/04/24/us/trump-supreme-transgender-troops.html,"Liptak, Adam. “Trump Asks Supreme Court to Revive Ban on Transgender Troops.” The New York Times, 24 Apr. 2025, www.nytimes.com/2025/04/24/us/trump-supreme-transgender-troops.html.","Lower courts have found this order to be in conflcit with precedent, and it has the potential to cause irreperable harm to service members on the basis of gender ",The Trump administration submitted an emergency application to the supreme court in order to revive a ban on transgender service members. This policy had previously been blocked by lower courts who had deemed it lacking supporting evidence and in violation of equal protection,Federal District Court Injuction: https://storage.courtlistener.com/recap/gov.uscourts.wawd.344431/gov.uscourts.wawd.344431.104.0_1.pdf,Social Contradictions,
,4/25/2025,‘Vaguely Threatening’: Federal Prosecutor Queries Leading Medical Journal,"Rosenbluth, Teddy. ““Vaguely Threatening”: Federal Prosecutor Queries Leading Medical Journal.” The New York Times, 25 Apr. 2025, www.nytimes.com/2025/04/25/health/nejm-prosecutor-letter.html.

‌","Scientific publication, just like any publication, is protected speech. Targeting journals for publishing certain views is government overreach and censorship. ","A federal prosecutor appointed by the Trump administration sent accusatory letters to the New England Journal of Medicine, questioning their editorial bias and independence. The New England Journal of Medicine is considered the most prestigious medical review in the world. The letters were described by NEJM's editor-in-chief as ""threatening,"" and an attempt to intimidate these journals into publishing topics in science that is aligned with Trump administration's views and agenda, like on vaccines, climate change, and diet. Importantly, the NEJM condemned Trump's response to COVID in 2020, though it is insufficient to declare this editorial with today's letter as linked. ",,Norm Violation,
,4/25/2025,"2-Year-Old U.S. Citizen Deported ‘With No Meaningful Process,’ Judge Suspects","Feuer, Alan. “2-Year-Old U.S. Citizen Deported ‘With No Meaningful Process,’ Judge Suspects.” The New York Times, 25 Apr. 2025, www.nytimes.com/2025/04/25/us/politics/us-citizen-deported.html","The two year old daughter was deported despite the fact that she was a) a US citizen and b) her father filed an emergency petition for her to stay in-country with him. A federal judge has deemed the actions taken by the government as appearing to be ""illegal and unconstituional"" since they deported a US citizen ""with no meaningful process"". A hearing will take place on May 16 to address this further.","A two-year-old US citizen was deported with her undocumented mother after the Justice Department argued that the mother wished for the child to accompany her. However, the child's father issued an emergency petition to stop the child from being deported. A federal judge has expressed concern that the two-year-old US citizen was deported with ""no meaningful process.""",,Unconstitutional,
,05/09/2025,Trump administration considers suspending habeas corpus - BBC,"Kupemba, Danai Nesta. ""Trump Administration Considers Suspending Habeas Corpus."" BBC News, 10 May 2025, https://www.bbc.com/news/articles/c0qgz18glljo. Accessed 16 May 2025.","If done, suspending habeas corpus without the authorization of Congress would appear to be unconstitutional. Additionally, the right is only allowed to be suspended in times of rebellion or invasion. Although the White House has declared illegal immigration to be an invasion, it is unclear if illegal immigration meets the legal threshold of an invaison,. ","Stephen Miller, the White House Deputy Chief of Staff, announced Friday that the President is considering suspending habeus corpus, the right to challenge one's detention in court. The US Constitution allows for the right to be suspended in times of rebellion or invasion. The announcement comes in the wake of judicial challenges to Trump's immigration agenda. The right has been suspended four times in history, with the most recent being in 1941 in Hawaii following the attack on Pearl Harbor. The section granting the right to the suspension of Habeus Corpus grants its powers to Congress, not the President.",,Unconstitutional ,
,5/23/2025," Trump administration must seek return of third man who was improperly deported, judge rules - Politico","Cheney, Kyle, and Josh Gerstein. ""Judge Orders Trump Administration to Return Third Man Improperly Deported."" Politico, 23 May 2025, https://www.politico.com/news/2025/05/23/judge-orders-trump-administration-return-third-man-improperly-deported-00368984. Accessed 24 May 2025.",The Judge found that the Trump administration violated US law in deporting the undocumented immigrant. US and international law prohibits deporting people to countries where they are likely to be tortured. ,"Federal Judge Brian Murphy ruled that the Trump administration must arrange the return of an immigrant deported to Mexico without being afforded his right to protection for fear of torture or persecution. The subject of the case, only named as O.C.G in court papers, claims he had been raped and targetted for being gay during a previous stay in Mexico. His legal team argued that the Trump administration had not offered him a chance to contest the deportation on those grounds before he was deported. He is the third person whom court have order the Trump administration to return, none have. ",,Unlawful,
