Name of contributor and date uploaded,Date of event (M/D/YYYY),Source,Citation (MLA),Violation,Summary,Notes,Classification,
,9/18/2025,"Trump Pressures Broadcasters Over Critical Coverage, Escalating Attack on Speech - NYT","Kanno-Youngs, Zolan. ""Trump Pressures Broadcasters Over Critical Coverage, Escalating Attack on Speech."" The New York Times, 18 September 2025. https://www.nytimes.com/2025/09/18/us/politics/trump-fcc-licenses.html","The proposal by President Trump would represent a major escalation in government control of the press. Revoking the licenses of negative press outlets would certainly violate the First Amendment; however, the speculative nature of Trump's comments has placed this in the norm-violation category. ","President Trump said regulators should consider revoking the licenses of broadcasters who cover him negatively, saying: “I have read someplace that the networks were 97 percent against me, I get 97 percent negative, and yet I won and easily. I would think maybe their license should be taken away.” ",,Norm Violation,
,9/19/2025, Trump: ‘It’s no longer free speech.’ - Politico,"Sentner, Irie. ""Trump: 'It's no longer free speech.'"" Politico, 19 September 2025. https://www.politico.com/news/2025/09/19/trump-no-longer-free-speech-00574219",Trump's rhetoric threatens the First Amendment's speech protections. Freedom of the Press is integral to holding administration's accountable and preserving democracy. ,"President Trump called media coverage of him illegal, saying, ""When 97 percent of the stories are bad about a person, it’s no longer free speech."" ",,Norm Violation,
,10/15/2025,U.S. Says It Revoked Visas of Some People Who Criticized Charlie Kirk - NYT,"Moses, Claire. ""U.S. Says It Revoked Visas of Some People Who Criticized Charlie Kirk."" The New York Times, 15 October 2025. https://www.nytimes.com/2025/10/15/us/politics/charlie-kirk-state-department-visas.html","These actions may or may not violate immigration law, but they are certainly part of the administration's crackdown on political dissent, which violates America's longstanding history of protected speech. ",The State Department has revoked the visas of at least six foreign citizens whom it accused of celebrating the assassination of Charlie Kirk. The administration has also taken similar action against pro-Palestinian protestors. ,,Norm Violation,
,10/15/2025,How the Pentagon Is Blocking Out News Organizations - NYT,"Wemple, Erik. ""How the Pentagon Is Blocking Out News Organizations."" The New York Times, 15 October 2025. ","The new rules represent a major attack on the Freedom of the Press and government transparency. Although the legality of these rules may be litigated, they certainly limit reporter's access and harm their ability to ensure transparency. Transparency is extremely important to vertical accountability. ","On Wednesday, most Pentagon journalists refused to sign onto the Defense Department's new rules and handed in their press credentials. This included organizations like The New York Times, NBC News, and Fox News. The new rules sharply limit access and raise the possibility of punishment for violating the rules. The rules affect building access and journalistic inquiry. ",,Norm Violation,
,1/6/2026,White House publishes website that rewrites history of Jan. 6 attack - WaPo,"Wang, Amy B. ""White House publishes website that rewrites history of Jan. 6 attack."" The Washington Post, 6 January 2025. https://www.washingtonpost.com/politics/2026/01/06/trump-white-house-jan6-website/",The website erases the history of Jan 6. and threatens the US Government's credibility as a historian. ,"The White House published a website with a false telling of the January 6, 2021 riots and the 2020 election. The website claimed that the 2020 election was stolen, argued that then-Vice President Mike Pence had the power to decertify the results, and blamed some Democrats and Republicans for leading a ""witch hunt,"" against President Trump after the attacks. ",,Norm Violation,
,1/10/2026,Smithsonian removes Trump impeachment text as it swaps his portrait - WaPo,"Chery, Samantha, et. al. ""Smithsonian removes Trump impeachment text as it swaps his portrait."" The Washington Post, 10 January 2025. https://www.washingtonpost.com/entertainment/art/2026/01/10/national-portrait-gallery-trump-photo/",The removal obscures the historical record of President Trump's two impeachments and represents an effort to erase unfavorable history regarding President Trump.,"The Smithsonian removed mentions of President Trump's two impeachments, which were written on a plaque next to the President's portrait. A plaque mentioning fmr. President Bill Clinton's impeachment was not removed. ",,Norm Violation,
,1/11/2026,More federal officers headed to Minnesota; officials point fingers over ICE shooting - WaPo,"Alfaro, Mariano. ""More federal officers headed to Minnesota; officials point fingers over ICE shooting."" The Washington Post, 11 January 2025. https://www.washingtonpost.com/politics/2026/01/11/rene-good-ice-shooting-investigation/",The deployment and decision to block local investigators appear to be an effort to cover up the killing of a US citizen and intimidate protestors in a Democratic-leaning city. The effort to target cities run by the opposition party and intimidate protestors is an attempt to leverage federal authority to dissuade opposition. ,"After the shooting of Renée Good by an ICE Agent, Homeland Security Secretary Kristi Noem announced that the administration will send more ICE officers to Minneapolis. Noem said the deployment would include hundreds of officers. According to local officials, federal authorities are blocking local investigators from the case.",,Norm Violation,
,1/14/2026,Smithsonian submits files to White House after funding threat - WaPo,"Ables, Kelsey, and Janay Kingsberry. ""Smithsonian submits files to White House after funding threat."" The Washington Post, 14 January 2026. https://www.washingtonpost.com/entertainment/art/2026/01/13/smithsonian-submits-documents-white-house-funding/",The content review appears to be an effort to censor the Smithsonian of any content the administration opposes. Such an effort is unprecedented in modern American history. ,"The Smithsonian Institution submitted digital photos of labels, placards, and other texts to the Trump Administration after the White House orders the Smithsonian to submit a trove of material for a content review. The review is intended to rid the Smithsonian of ""improper ideology."" ",,Norm Violation,
,1/23/2026,F.B.I. Agent Who Tried to Investigate ICE Officer in Shooting Resigns - NYT,"Feuer, Alan, and Glenn Thrush. ""F.B.I. Agent Who Tried to Investigate ICE Officer in Shooting Resigns."" The New York Times, 23 January 2026. https://www.nytimes.com/2026/01/23/us/politics/fbi-agent-ice-shooting-renee-good.html?smid=url-share. 
.",The pressure towards Tracee Mergen is an effort to stop an investigation that may contradict the administration's position on the ICE shooting of Renee Good. ,"FBI Agent Tracee Mergen left her job under pressure after she opened a civil rights investigation into Johnathon Ross, the ICE Agent who shot and killed Renee Good. Civil rights inquiries are common after similar shootings. Senior DOJ Officials have indicated they do not expect to follow a normal investigative pathway and have opened an investigation into Renee Good and her partner. ",,Norm Violation,
,2/27/2026, ‘Horrifying’: Hollywood blasts Trump’s role in studio sale - Politico,"Miller, Daniel. ""Horrifying’: Hollywood blasts Trump’s role in studio sale."" Politico, 27 February 2026. https://www.politico.com/news/2026/02/27/horrifying-hollywood-blasts-trumps-role-in-studio-sale-00802771","Although the effects remain unclear in the Warner Bros. Discovery deal, President Trump has consistently attempted to influence Hollywood and Corporate media. This poses danger to the credibility of the news media ecosystem, which is important to a functioning democracy.","Some entertainment executives and democratic politicians worry that President Trump interfered in the Warner Bros. Discovery Sale. Paramount Skydance, run by CEO Larry Ellison, agreed to purchase Warner Bros. Discovery after Netflix backed out of the bidding war. Larry Ellison has ties to Trump, while Donald Trump demanded last week that Netflix fire former Democratic national security advisor Susan Rice or ""pay the consequences."" ",,Norm Violation,
,2/17/2026,Colbert says CBS spiked planned James Talarico interview amid FCC pressure - Politico,"Svirnovisky, Gregory. ""Colbert says CBS spiked planned James Talarico interview amid FCC pressure."" Politico, 17 February 2026. https://www.politico.com/news/2026/02/17/colbert-interview-trump-administration-pressure-00783626?utm_medium=email&utm_source=substack",Stephen Colbert characterized the decision as an attempt by the Trump administration to silence unfavorable coverage of the President. ,"CBS blocked a planned interview between Stephen Colbert and James Talarico, over concerns that it could violate the FCC's equal time rule. The FCC's equal time rule requires radio and broadcast programs to offer equal time to all candidates in a particular race. News programs have been exempt from this rule, which has been extended to talk shows. FCC Chair Branden Carr signaled that the agency could begin applying the show to talk hosts. ",,Norm Violation,
,3/11/2026,Pentagon Bars Photographers From Briefings on Iran War - NYT,"Wemple, Erik. ""Pentagon Bars Photographers From Briefings on Iran War."" The New York Times, 11 March 2026. https://www.nytimes.com/2026/03/11/business/media/pentagon-bars-photographers-from-briefings-on-iran-war.html",The new policy has been criticized by news outlets such as the New York Times for inhibiting their ability to report fully on the US military. A free and active press is integral to the health of democratic systems. ,"The Pentagon has enacted a ban on news photographers at briefings, citing the desire to use briefing room space more ""effectively."" This follows the Pentagon's adoption of new restrictions that allow the Pentagon to determine whether reporters pose ""security risks"" that justify revoking their credentials. ",,Norm Violation,
,3/14/2026,F.C.C. Chair Threatens to Revoke Broadcasters’ Licenses Over War Coverage - NYT,"Ahn, Ahsley. ""F.C.C. Chair Threatens to Revoke Broadcasters’ Licenses Over War Coverage."" The New York Times, 14 March 2016. https://www.nytimes.com/2026/03/14/world/middleeast/fcc-broadcasters-iran-war.html",Threatening broadcasters' licenses over their coverage risks inhibiting the press's ability to provide objective coverage and this pressure is unprecedented in recent American democratic history.  ,"FCC Chair Branden Carr accused networks of ""running hoaxes and new distortions"" regarding the Iran War. He warned them to ""correct course before license renewals come up."" ",,Norm Violation,
,3/23/2026,Voice of America staff allege Kari Lake violated its independence in lawsuit - WaPo,"Nover, Scott. ""Voice of America staff allege Kari Lake violated its independence in lawsuit."" The Washington Post, 23 March 2026. https://www.washingtonpost.com/business/2026/03/23/voice-of-america-lawsuit-trump-firewall/ ",The lawsuit alleges that the federal government is violating the law by interfering with Voice of America's coverage and accuses the federal government of censorship and publishing propaganda.  ,"Voice of America Journalists sued the federal government alledging that it violated a law protecting the broadcaster's editorial independence. It also accused the agency of censoring coverage of the Iran Crisis and publishing ""propaganda"" in support of President Trump. ",,Unlawful,
,4/17/2026,Former Tufts student detained over pro-Palestinian op-ed self-deports as part of Trump admin deal - Politico,"Gerstein, Josh, and Kyle Cheney. ""Former Tufts student detained over pro-Palestinian op-ed self-deports as part of Trump admin deal."" Politico, 17 April 2026. https://www.politico.com/news/2026/04/17/rumeysa-ozturk-deportation-case-00878694",The pressure campaign to force a pro-Palestinian activist to leave the United States risks dissuading dissent among academics in the United States.  This hurts the ability for higher-education to freely disagree with the government.,"Rumyesa Ozturk, a Tufts graduate student, agreed to leave the United States as part of a settlement with the Trump administration. In 2025, Ozturk was detained by immigration authorities, who sought to deport her over her pro-Palestinian writing. ",,Norm Violation,
