Name of contributor and date uploaded,Date of event (M/D/YYYY),Source,Citation (MLA),Action,Resistance,Notes,Classification,
Thomas Fendig 4/18/2025,4/17/2025,The Ivy League resistance is just getting started - POLITICO,"Quilantan, Bianca, and Madina Touré. ""Former Presidents of Columbia, Harvard Urge Their Successors to Fight the Trump Administration."" Politico, 17 Apr. 2025, https://www.politico.com/news/2025/04/17/columbia-harvard-former-presidents-urge-successors-fight-trump-00294325.","This article shows a more motivated and prepared civil society than we have seen before, following Columbia's decision to acquiesce to the Trump administration's demands. The effectiveness of either of these responses will have far-reaching ramifications for civil society's will to resist. ","After Harvard's resistance toward the Trump administration's targeting, several former Ivy League Presidents have called on higher-education institutions to resist the Trump administration's demands, specifically through courts. They argue it is morally important and also the only effective response. ",,,
Thomas Fendig 4/11/2025,4/11/2025,Five More Big Law Firms Reach Deals With Trump - NYT,"Goldstein, Matthew. ""Five More Big Law Firms Reach Deals With Trump."" The New York Times, 11 Apr. 2025, www.nytimes.com/2025/04/11/business/trump-law-firms-kirkland-ellis-latham-watkins.html.","This article shows the Trump Administration's continued targeting of major law firms and the different strategies those law firms have taken in response. The Trump administration's pressure campaign against law firms appears to violate the constitutional right to legal representation and represents an unprecedented crackdown on civil society dissent. The article highlights some firms' decisions to negotiate and strike deals with law firms, while others have filed lawsuits. ","Five majors law firms; Kirkland & Ellis, Latham and Watkins, A&O Shearman; Simpson Thacher & Bartlett; and Wickersham & Taft; have agreed to deals with the Trump administration to provide a total of 600 million dollars worth of pro bono legal work for the administration. After these talks, major law firms have agreed to provide a combined $940 million of free legal work for the Trump Administration. Some law firms are taking matters to court, and Judges have temporarily stayed the orders against Perkins Coie, WilmerHale, and Jenner & Block. Another firm, Susan Godfrey, has also filed suit. ",,,
Sofie Quirk 4/21/2025,4/21/2025,Harvard Sues the Trump Administration- NYT,"Saul, Stephanie. “Harvard University Sues Trump Administration.” The New York Times, 21 Apr. 2025. NYTimes.com, https://www.nytimes.com/2025/04/21/us/harvard-lawsuit-trump-administration.html.","This article shows continued resistance by Harvard in the face of legal and financial pressures from the Trump administration. Due to the institution's wealth, they have the flexibility to take on this lawsuit, though they have asked the Massachusetts court to expedite the proceeding. The University's president has spoken out in multiple community letters advocating for the institution's first ammendment rights.","In recent weeks, the Trump administration has demanded Haravrd institute new policies including ""auditing professors for plagiarism, reporting to the federal government any international students accused of misconduct, and appointing an outside overseer to insure that academic departments were 'viewpoint diverse',"" as well as threatening to take away their SEVP status, which allows them to admit international students."" Harvard's President, Alan M. Garber, called these demands “unprecedented and improper” with potential for “severe and long lasting” consequences.  ",developing story!,,
"Teodor Bortan, 4/21/2025",4/21/2025,"Protesters chain themselves to Columbia’s gates, calling for the release of activists.","Bhutani, Anvee. “Protesters Chain Themselves to Columbia Gates, Calling for Activists’ Release.” The New York Times, 22 Apr. 2025, www.nytimes.com/2025/04/21/us/politics/columbia-protests-khalil-mahdawi-ice.html?smid=url-share.

‌",Protests against the Trump administration's arrest of two Columbia students. ,"Protesters chained themselves to Columbia's gates and staged a sit-in. Demonstrators chanted slogans, held signs, and read messages from detention.
This was the second protest at Columbia this month involving chaining to gates.
",,,
,4/27/2025,Elite Universities Form Private Collective to Resist Trump Administration - WSJ,"Glazer, Emily et al. ""Elite Universities Form Private Collective to Resist Trump Administration"" The Wall Street Journal. 27 Apr. 2025. https://www.wsj.com/us-news/education/elite-universities-form-private-collective-to-resist-trump-administration-95a14ff3?st=rxGN6Z&reflink=desktopwebshare_permalink","This shows a strengthened civil society in the academic sphere, with an effort to unite and resist the Trump administration's pressure and crackdown. A united front would make it difficult for the Trump administration to back academic institutions into a corner and force them into unbalanced agreements.  ","Privately, leaders of America's most prestigious universities have assembled a private collective to resist the Trump administration's targeting. The group comprises figures at high levels, including individuals and trustees at about 10 schools, including Ivies and leading private research institutions.    The group has coordinated resistance, drawing red lines in negotiations and formulating plans of how to respond to different administration demands.  This collective is working to coordinate dealmaking so that no university strikes a deal with the administration that would create a worrisome precedent for academic independence. ",,,
,04/28/2025,https://abcnews.go.com/US/wireStory/former-jan-6-prosecutor-warns-trumps-pardons-encourage-121237097,"Durkin Richer, Alanna. ""Former Jan. 6 prosecutor warns Trump’s pardons could encourage future political violence."" ABC News (AP), 28 Apr. 2025. https://abcnews.go.com/US/wireStory/former-jan-6-prosecutor-warns-trumps-pardons-encourage-121237097","""A former supervisor of the team that prosecuted the 1,500 plus people charged in the attack on the U.S. Capitol says he fears President Donald Trump's pardons could embolden right-wing extremists and encourage future political violence""",Romano spotlighted how Trump’s lawful pardons violated democratic norms; his resignation is normative resistance.,added by Mohammad Ibrahim  (TJ Spring 25),Norms Violation,
,05/16/2025,The new law firms being founded to fight Trump - Politico,"Barnes, Daniel. ""The New Law Firms Being Founded to Fight Trump."" Politico, 16 May 2025, https://www.politico.com/news/2025/05/16/new-law-firms-trump-targets-00354711. Accessed 17 May 2025.","These law firms will offer legal support to those targetted by the Trump administration, whether in retribution or in the mass firings of civil servants. If successful, these law firms could be effective resistance to the Trump administration's efforts to silence and suppress dissent within the civil service, which is integral to democracy.","As the Trump administration targets law firms, a new wave of law firms are being founded to meet the needs of civil servants and Trump administration critics. At least three firms have opened in the last two weeks. Some of these law firms are employing lawyers who quit other law firms that had negotiated settlements with the Trump administration. These firms include the Civil Service Law Center, Lowell & Associates, and the DC Law Collective. ",,,
,6/16/2025,American Bar Association Sues Trump Administration - NYT,"Barret, Devlin. ""American Bar Association Sues Trump Administration."" The New York Times, 16 June 2025. https://www.nytimes.com/2025/06/16/us/american-bar-association-sues-trump-administration.html?smid=url-share Accessed 16 June 2025.","The effort by the American Bar Association shows a major push by the legal profession to prevent the administration from continuing its crackdown. Lawyers are an integral part of civil society, and have capacity to resist democratic backsliding. ","The American Bar Association has sued the White House over its effort to punish major law firms, claiming the President's executive orders are weakening the rule of law. While courts have overturned individual executive orders, the Bar Association is seeking a more comprehensive block on the President's actions. The Trump administration has signed several executive orders targeting law firms that they percieve as opposed to the President's agenda. ",,,
,6/14/2025,"Anti-Trump demonstrators crowd streets, parks and plazas across the US. Organizers say millions came - AP","Levy, Marc et al. ""Anti-Trump demonstrators crowd streets, parks and plazas across the US. Organizers say millions came."" The Associated Press, 15 June 2025. https://apnews.com/article/no-kings-protest-trump-philadelphia-los-angeles-immigration-raids-a3b67d23733cd060f8d01aef1e391dbf?utm_source=copy&utm_medium=share","The protests represent substantial, significant, and coordinated opposition to the Trump administration and their policies. ","Massive anti-Trump protests affiliated with the No Kings movement occurred on June 14th, coinciding with a military parade in Washington on the army's 250th birthday and Trump's 79th. The protests occurred in major cities across the country, with organizers claiming millions had marched. Violence was isolated, but some did occur.",,,
,6/23/2025,Columbia Agrees to $200 Million Fine to Settle Fight With Trump - NYT,"Otterman, Sharon. ""Columbia Agrees to $200 Million Fine to Settle Fight With Trump."" The New York Times, 23 July 2025. https://www.nytimes.com/2025/07/23/nyregion/columbia-trump-funding-deal.html Accessed 24 July 2025. ","The deal challenges the University's independence and grants legitimacy to the President's campaign to weaponize research funding in an effort to transform University politics and campus unrest. Academic independence is an integral part of civil society, and Columbia's decision to settle risks the civil society to resist democratic backsliding. ","Columbia has reached a major deal with the Trump administration to restore the university's research funding. In exchange, the University will pay a $200 million fine, pledge to follow laws banning the consideration of race in admission and hiring, and follow through on other commitments to reduce antisemitism and unrest that it agreed to in March. The deal is the first by a University targetted by the administration's anti-semitism and DEI investigation into Universities. ",,Norms Violation,
